driver;architecture;method;count;elapsed_ms;rows_per_second;repetition
SQLite;Win32;array;1;0.378;2645.50;1
SQLite;Win32;array;100;0.840;118990.96;1
SQLite;Win32;array;1000;3.819;261882.94;1
SQLite;Win32;array;10000;43.242;231259.32;1
SQLite;Win32;array;100000;435.187;229786.43;1
FB;Win32;array;1;1.774;563.60;1
FB;Win32;array;100;19.712;5073.18;1
FB;Win32;array;1000;52.809;18936.20;1
FB;Win32;array;10000;582.052;17180.61;1
FB;Win32;array;100000;5477.266;18257.28;1
SQLite;Win64;array;1;0.355;2814.52;1
SQLite;Win64;array;100;0.604;165480.72;1
SQLite;Win64;array;1000;2.453;407664.08;1
SQLite;Win64;array;10000;23.371;427873.38;1
SQLite;Win64;array;100000;262.686;380683.07;1
FB;Win64;array;1;0.637;1569.86;1
FB;Win64;array;100;8.222;12162.49;1
FB;Win64;array;1000;35.267;28354.80;1
FB;Win64;array;10000;383.361;26085.11;1
FB;Win64;array;100000;3936.957;25400.33;1
